State,Civilian_labor_force_2011,Civilian_labor_force
AK,734088,73.4088
AL,4381044,438.1044
AR,2739713,273.9713
AZ,6068526,606.8526
CA,36769777,3676.9777
CO,5446060,544.606
CT,3836253,383.6253
DC,688666,68.8666
DE,878362,87.8362
FL,18497016,1849.7016
GA,9450224,945.0224
HI,1321389,132.1389
IA,3327192,332.7192
ID,1541284,154.1284
IL,13131016,1313.1016
IN,6376531,637.6531
KS,3010089,301.0089
KY,4135063,413.5063
LA,4121280,412.128
MA,6912888,691.2888
MD,6144496,614.4496
ME,1408165,140.8165
MI,9316223,931.6223
MN,5955846,595.5846
MO,6092613,609.2613
MS,2687701,268.7701
MT,1008827,100.8827
NC,9307828,930.7828
ND,765893,76.5893
NE,2010916,201.0916
NH,1476565,147.6565
NJ,9112377,911.2377
NM,1855573,185.5573
NV,2771746,277.1746
NY,19008485,1900.8485
OH,11612938,1161.2938
OK,3541653,354.1653
OR,3983748,398.3748
PA,12771420,1277.142
RI,1126827,112.6827
SC,4314536,431.4536
SD,892509,89.2509
TN,6265493,626.5493
TX,24903029,2490.3029
UT,2676522,267.6522
VA,8612348,861.2348
VT,718331,71.8331
WA,6969630,696.963
WI,6124525,612.4525
WV,1599769,159.9769
WY,608485,60.8485
